id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
historial-de-reproducciones:header,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,historial-de-reproducciones,No
historial-de-reproducciones:title,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,historial-de-reproducciones,No
historial-de-reproducciones:titleUrl,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,historial-de-reproducciones,No
historial-de-reproducciones:time,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,historial-de-reproducciones,No
historial-de-reproducciones:products,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,historial-de-reproducciones,No
historial-de-reproducciones:details:name,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,details,name,LIST,,NO LIST,,MISSING,string,"('details', 'name')","[""details"", ""name""]","""name""",name,list,historial-de-reproducciones,No
historial-de-reproducciones:activityControls,historial/historial-de-reproducciones.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",historial,,,,historial-de-reproducciones.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,historial-de-reproducciones,No
search-history:header,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,search-history,Yes
search-history:title,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,search-history,Yes
search-history:titleUrl,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,search-history,Yes
search-history:time,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,search-history,Yes
search-history:products,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,search-history,Yes
search-history:activityControls,history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",history,,,,search-history.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,search-history,Yes
watch-history:header,history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",history,,,,watch-history.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,watch-history,Yes
watch-history:title,history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",history,,,,watch-history.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,watch-history,Yes
