,pathname,,,,,,,,,,,,,
tweets_media (folder),,,,,,,,,,,tweets_media,tweets_media,,
tweets,,,,,,,,,,,tweets,tweets,,
,edit_info,,,,,,,,,,edit_info,edit_info,,
,,initial,,,,,,,,,initial,initial,,
,,,editTweetIds,,,,,,,,editTweetIds,editTweetIds,,
,,,editableUntil,,,,,,,,editableUntil,editableUntil,,
,,,editsRemaining,,,,,,,,editsRemaining,editsRemaining,,
,,,isEditEligible,,,,,,,,isEditEligible,isEditEligible,,
,retweeted,,,,,,,,,,retweeted,retweeted,,
,source,,,,,,,,,,source,source,,
,entities,,,,,,,,,,entities,entities,,
,,hashtags,,,,,,,,,hashtags,hashtags,,
,,symbols,,,,,,,,,symbols,symbols,,
,,user_mentions,,,,,,,,,user_mentions,user_mentions,,
,,,name,,,,,,,,name,name,,
,,,screen_name,,,,,,,,screen_name,screen_name,,
,,,indices,,,,,,,,indices,indices,,
,,,id_str,,,,,,,,id_str,id_str,,
,,,id,,,,,,,,id,id,,
,,urls,,,,,,,,,urls,urls,,
,display_text_range,,,,,,,,,,display_text_range,display_text_range,,
,favorite_count,,,,,,,,,,favorite_count,favorite_count,,
,id_str,,,,,,,,,,id_str,id_str,,
,truncated,,,,,,,,,,truncated,truncated,,
,retweet_count,,,,,,,,,,retweet_count,retweet_count,,
,id,,,,,,,,,,id,id,,
,created_at,,,,,,,,,,created_at,created_at,,
,favorited,,,,,,,,,,favorited,favorited,,
,full_text,,,,,,,,,,full_text,full_text,,
,lang,,,,,,,,,,lang,lang,,
twitter-shop,,,,,,,,,,,twitter-shop,twitter-shop,,
,shopId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,isEnabled,,,,,,,,,,,,,
,name,,,,,,,,,,,,,
,description,,,,,,,,,,,,,
,productSetIds,,,,,,,,,,,,,
user-link-clicks,,,,,,,,,,,user-link-clicks,user-link-clicks,,
,tweetId,,,,,,,,,,,,,
,finalUrl,,,,,,,,,,,,,
,timeStampOfInteraction,,,,,,,,,,,,,
verified-organization,,,,,,,,,,,verified-organization,verified-organization,,
,affiliatedToAccounts,,,,,,,,,,,,,
,affiliates,,,,,,,,,,,,,
,screenName,,,,,,,,,,,,,
,verfiedType,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
verified,,,,,,,,,,,verified,verified,,
,accountId,,,,,,,,,,accountId,accountId,,
,verified,,,,,,,,,,verified,verified,,
