column_name,path,list_path,subfield_path,var_type,data_type
comment,"['Comment', 'Comments', 'CommentsList', 'comment']","['Comment', 'Comments']","['CommentsList', 'comment']",list,string
photo,"['Comment', 'Comments', 'CommentsList', 'photo']","['Comment', 'Comments']","['CommentsList', 'photo']",list,string
url,"['Comment', 'Comments', 'CommentsList', 'url']","['Comment', 'Comments']","['CommentsList', 'url']",list,string
PlaceName,"['Poi Review', 'POI Review', 'ReviewsList', 'PlaceName']","['Poi Review', 'POI Review']","['ReviewsList', 'PlaceName']",list,string
Date,"['Poi Review', 'POI Review', 'ReviewsList', 'Date']","['Poi Review', 'POI Review']","['ReviewsList', 'Date']",list,string
Rating,"['Poi Review', 'POI Review', 'ReviewsList', 'Rating']","['Poi Review', 'POI Review']","['ReviewsList', 'Rating']",list,string
Status,"['Poi Review', 'POI Review', 'ReviewsList', 'Status']","['Poi Review', 'POI Review']","['ReviewsList', 'Status']",list,string
Likes,"['Poi Review', 'POI Review', 'ReviewsList', 'Likes']","['Poi Review', 'POI Review']","['ReviewsList', 'Likes']",list,string
ReviewText,"['Poi Review', 'POI Review', 'ReviewsList', 'ReviewText']","['Poi Review', 'POI Review']","['ReviewsList', 'ReviewText']",list,string
Date,"['Video', 'Videos', 'VideoList', 'Date']","['Video', 'Videos']","['VideoList', 'Date']",list,string
Link,"['Video', 'Videos', 'VideoList', 'Link']","['Video', 'Videos']","['VideoList', 'Link']",list,string
Likes,"['Video', 'Videos', 'VideoList', 'Likes']","['Video', 'Videos']","['VideoList', 'Likes']",list,string
WhoCanView,"['Video', 'Videos', 'VideoList', 'WhoCanView']","['Video', 'Videos']","['VideoList', 'WhoCanView']",list,string
AllowComments,"['Video', 'Videos', 'VideoList', 'AllowComments']","['Video', 'Videos']","['VideoList', 'AllowComments']",list,string
AllowStitches,"['Video', 'Videos', 'VideoList', 'AllowStitches']","['Video', 'Videos']","['VideoList', 'AllowStitches']",list,string
AllowDuets,"['Video', 'Videos', 'VideoList', 'AllowDuets']","['Video', 'Videos']","['VideoList', 'AllowDuets']",list,string
AllowStickers,"['Video', 'Videos', 'VideoList', 'AllowStickers']","['Video', 'Videos']","['VideoList', 'AllowStickers']",list,string
AllowSharingToStory,"['Video', 'Videos', 'VideoList', 'AllowSharingToStory']","['Video', 'Videos']","['VideoList', 'AllowSharingToStory']",list,string
ContentDisclosure,"['Video', 'Videos', 'VideoList', 'ContentDisclosure']","['Video', 'Videos']","['VideoList', 'ContentDisclosure']",list,string
AIGeneratedContent,"['Video', 'Videos', 'VideoList', 'AIGeneratedContent']","['Video', 'Videos']","['VideoList', 'AIGeneratedContent']",list,string
Sound,"['Video', 'Videos', 'VideoList', 'Sound']","['Video', 'Videos']","['VideoList', 'Sound']",list,string
Location,"['Video', 'Videos', 'VideoList', 'Location']","['Video', 'Videos']","['VideoList', 'Location']",list,string
Title,"['Video', 'Videos', 'VideoList', 'Title']","['Video', 'Videos']","['VideoList', 'Title']",list,string
AddYoursText,"['Video', 'Videos', 'VideoList', 'AddYoursText']","['Video', 'Videos']","['VideoList', 'AddYoursText']",list,string
Description,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']","['Profile', 'Profile Information', 'ProfileMap']","['PlatformInfo', 'Description']",list,string
Name,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Name']","['Profile', 'Profile Information', 'ProfileMap']","['PlatformInfo', 'Name']",list,string
Platform,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Platform']","['Profile', 'Profile Information', 'ProfileMap']","['PlatformInfo', 'Platform']",list,string
Profile Photo,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Profile Photo']","['Profile', 'Profile Information', 'ProfileMap']","['PlatformInfo', 'Profile Photo']",list,string
